"player","position","season","Team","GP","TOI_all","TOI_EV","TOI_PP","TOI_SH","EV_GAR","PP_GAR","SH_GAR","Pens_GAR","GAR","WAR"
"ALEXEY.MARCHENKO","D","20152016","DET",66,1110.8,960.5,1.2,137.8,-1.3,0,0.7,2.1,1.4,0.3
"ALEX.GALCHENYUK","F","20152016","MTL",82,1333.2,1072.6,200,0.6,9.2,2.8,0,2.1,14.1,2.8
"ALEX.GOLIGOSKI","D","20152016","DAL",82,1953.5,1545.6,158,189.8,2.3,0.4,2.1,1.2,6.1,1.2
"ALEX.GRANT","D","20152016","ARI",5,66.2,59.5,3.7,2.4,-0.5,0,0,-0.1,-0.6,-0.1
"ALEX.GRENIER","F","20152016","VAN",6,68.9,68.1,0,0,-0.8,0,0,-0.2,-1,-0.2
"ALEX.KILLORN","F","20152016","T.B",81,1360.4,1102,184.2,37.1,9.8,-0.5,0.8,1.2,11.3,2.2
"ALEX.OVECHKIN","F","20152016","WSH",79,1604.3,1227.8,337.5,0.3,13.6,5.2,0,-0.3,18.4,3.6
"ALEX.PETROVIC","D","20152016","FLA",66,1119,978.9,8.8,112.5,7.4,-0.1,0.5,-1,6.7,1.3
"ALEX.PIETRANGELO","D","20152016","STL",73,1919.9,1477.2,165.3,225.1,8.3,-0.2,-2,4,10,2
"ALEX.SEMIN","F","20152016","MTL",15,185,142.4,24.4,0,1.9,-0.2,0,-1.1,0.6,0.1
"ALEX.STEEN","F","20152016","STL",67,1364.8,1005.7,195.1,117.8,1.6,2.3,-2.4,-1,0.5,0.1
"ALEX.TANGUAY","F","20152016","ARI",18,272.8,217.1,49.8,0.3,3.8,1.3,0,-0.2,5,1
"ALEX.TANGUAY","F","20152016","COL",52,823.5,672.5,103.8,36.6,2,1.1,-0.4,-0.3,2.4,0.5
"ALEX.WENNBERG","F","20152016","CBJ",69,1094.5,874,146.7,46.8,4.8,1.9,-0.2,4.3,10.8,2.1
"ANDERS.LEE","F","20152016","NYI",80,1166.2,935.5,199,1.9,-1.2,4.7,0,-2.6,0.9,0.2
"ANDREAS.ATHANASIOU","F","20152016","DET",37,333.6,311.6,0.7,18.8,-0.7,0,0.2,2.8,2.2,0.4
"ANDREAS.MARTINSEN","F","20152016","COL",55,605.6,588.9,2.7,1.3,2.7,0,0,-0.5,2.2,0.4
"ANDRE.BURAKOVSKY","F","20152016","WSH",79,1027.4,959.4,62.7,0,3.3,-1,0,0.8,3.1,0.6
"ANDREI.MARKOV","D","20152016","MTL",82,1954.5,1420.6,267.7,189.4,3.9,2.2,0.3,1.8,8.2,1.6
"ANDREJ.NESTRASIL","F","20152016","CAR",55,789.3,707.3,70.6,0,3.8,0.4,0,0.6,4.8,0.9
"ANDREJ.SEKERA","D","20152016","EDM",81,1766.7,1408.7,186,129.8,1.5,2.4,0.2,2.5,6.6,1.3
"ANDREJ.SUSTR","D","20152016","T.B",77,1292.2,1138.4,4.5,141.4,3.5,0,0.6,-0.8,3.3,0.6
"ANDREW.AGOZZINO","F","20152016","COL",9,77,74.5,2.3,0,-0.7,0,0,0,-0.6,-0.1
"ANDREW.BODNARCHUK","D","20152016","CBJ",16,232.6,220.8,2.1,8.5,-1.5,0,-0.1,-0.3,-1.9,-0.4
"ANDREW.BODNARCHUK","D","20152016","COL",21,223.9,222.4,0,0.9,-2.8,0,0,0.1,-2.7,-0.5
"ANDREW.CAMPBELL","D","20152016","TOR",6,69.5,67,0,2.4,0.1,0,0,0.1,0.3,0.1
"ANDREW.COGLIANO","F","20152016","ANA",82,1178.9,1007,5.5,153.6,2.6,0,0.1,-0.5,2.3,0.4
"ANDREW.COPP","F","20152016","WPG",77,616.3,550.2,2.5,61.7,4.3,0,0.7,0.7,5.7,1.1
"ANDREW.DESJARDINS","F","20152016","CHI",77,1030.4,868.9,6.4,136.2,-1.5,0,0.1,1.1,-0.5,-0.1
"ANDREW.FERENCE","D","20152016","EDM",6,78.4,70.5,0.2,6.5,-1.2,0,0.1,-0.5,-1.6,-0.3
"ANDREW.LADD","F","20152016","CHI",19,327.4,250,44.8,25.2,-1.5,0.2,-0.5,0.5,-1.4,-0.3
"ANDREW.LADD","F","20152016","WPG",59,1145.6,816.6,166.4,116.6,-2,1.9,-0.3,0,-0.4,-0.1
"ANDREW.MACDONALD","D","20152016","PHI",28,552,481.2,21.1,50.7,5.5,0.7,0.4,0.9,7.5,1.5
"ANDREW.SHAW","F","20152016","CHI",78,1139.1,958.9,146.7,1.2,3.3,0.1,0,0,3.4,0.7
"ANDREY.PEDAN","D","20152016","VAN",13,142.4,135.7,0.2,5.5,-3.8,0,0,-0.3,-4.1,-0.8
"ANDY.ANDREOFF","F","20152016","L.A",60,524.4,518.1,5.4,2.3,-2.1,-0.1,0,0.6,-1.5,-0.3
"ANDY.GREENE","D","20152016","N.J",82,1881.6,1520.6,25.6,281.8,3.3,1,-0.4,1.3,5.3,1
"ANTHONY.BITETTO","D","20152016","NSH",28,339.7,335.6,2.2,1.4,-1.5,0,0,0.1,-1.4,-0.3
"ANTHONY.DUCLAIR","F","20152016","ARI",81,1164.8,921.9,225.9,0.2,10,0,0,1.2,11.2,2.2
"ANTHONY.MANTHA","F","20152016","DET",10,117,97,19.5,0,-0.3,1.6,0,0.1,1.4,0.3
"ANTHONY.PELUSO","F","20152016","WPG",35,223.4,221.5,1.5,0,1.2,0,0,-1.6,-0.3,-0.1
"ANTOINE.ROUSSEL","F","20152016","DAL",80,1108.6,944.7,33.9,106,0.3,-0.6,-0.5,-0.2,-1.1,-0.2
"ANTOINE.VERMETTE","F","20152016","ARI",76,1255.6,946.8,212.1,78.8,0,1.8,0,-3.1,-1.4,-0.3
"ANTON.LANDER","F","20152016","EDM",61,733.6,555,49.9,117.6,-2.5,-1.7,-1.7,0.8,-5.2,-1
"ANTON.SLEPYSHEV","F","20152016","EDM",11,95.6,92.7,2.2,0,-1.1,0,0,0.2,-1,-0.2
"ANTON.STRALMAN","D","20152016","T.B",73,1611.6,1197.7,208.7,151.7,5.3,0.8,0.6,1.3,8.1,1.6
"ANZE.KOPITAR","F","20152016","L.A",81,1690.2,1264.1,204.8,171.8,18.1,0.6,-0.3,3.4,21.7,4.2
"ARTEM.ANISIMOV","F","20152016","CHI",77,1392.7,1088.7,173,102.1,3.3,2.9,-0.4,1,6.9,1.4
"ARTEMI.PANARIN","F","20152016","CHI",80,1480,1210.4,223.1,0.9,7.2,3.7,0,1,11.9,2.3
"AUSTIN.WATSON","F","20152016","NSH",57,570.1,515,1.5,43.6,3.7,0,0,-0.9,2.8,0.5
"BARCLAY.GOODROW","F","20152016","S.J",14,143.8,127.5,0.5,13.2,0.4,0,-0.1,-0.1,0.3,0.1
"BARRET.JACKMAN","D","20152016","NSH",73,1011.6,943.6,1.2,60.8,2,0,-0.1,-1.1,0.8,0.2
"BEAU.BENNETT","F","20152016","PIT",33,392.6,338,46.5,3,-0.4,1,0,-0.7,-0.1,0
"BEN.CHIAROT","D","20152016","WPG",70,1010.4,950.3,3.6,52.4,0.5,0,-2.1,0.8,-0.9,-0.2
"BEN.HARPUR","D","20152016","OTT",5,68.3,66.8,0,1.5,0.6,0,0,-0.1,0.6,0.1
"BEN.HUTTON","D","20152016","VAN",75,1489.5,1219.2,170.1,67.9,-8.4,0.9,-0.4,3.2,-4.8,-0.9
"BEN.LOVEJOY","D","20152016","PIT",66,1243.3,1064.6,5.1,159.3,6.7,0,0.6,-0.4,7,1.4
"BENOIT.POULIOT","F","20152016","EDM",55,879.9,706.2,129.1,23.1,2.9,2.3,0.3,0.6,6.1,1.2
"BEN.SMITH","F","20152016","TOR",16,230.1,188.7,2,36.5,1.6,0,-0.9,0.1,0.8,0.2
"BLAKE.COMEAU","F","20152016","COL",81,1425.9,1077.4,136.1,159.5,3.6,1.3,-1,-0.9,3,0.6
"BLAKE.PIETILA","F","20152016","N.J",7,84.2,73.5,2,7.4,-0.8,0,0,0.2,-0.6,-0.1
"BLAKE.WHEELER","F","20152016","WPG",82,1621.9,1194.5,256.4,102,10.4,0.3,-2,1.1,9.8,1.9
"BOBBY.FARNHAM","F","20152016","N.J",50,472.4,466.4,2.1,1.2,3.3,0,0,0.2,3.4,0.7
"BOBBY.RYAN","F","20152016","OTT",81,1391.2,1092,221.4,2.4,5.4,-0.1,0,2.5,7.9,1.5
"BO.HORVAT","F","20152016","VAN",82,1404.8,1042.5,144.9,184.3,1.6,0,-3.2,1.5,-0.2,0
"BOONE.JENNER","F","20152016","CBJ",82,1338.5,1125.4,167,16.2,-1.4,-0.9,-0.3,-0.9,-3.4,-0.7
"BOYD.GORDON","F","20152016","ARI",65,789.4,597.8,2.6,183.7,-2.4,0,1.6,0.3,-0.5,-0.1
"BRAD.BOYES","F","20152016","TOR",60,716.3,556.9,142.1,0.6,3.4,0.9,0,0.3,4.6,0.9
"BRAD.HUNT","D","20152016","EDM",7,99.3,81.3,16.2,0.2,-1.4,-0.4,0,-0.1,-1.9,-0.4
"BRAD.MALONE","F","20152016","CAR",57,544.1,472.5,2.4,65.4,-0.7,0,1.2,-1.3,-0.8,-0.2
"BRAD.MARCHAND","F","20152016","BOS",77,1432,1116.2,110.8,153.3,11.6,-0.1,1.9,1.1,14.4,2.8
"BRAD.RICHARDS","F","20152016","DET",68,1006,808.5,173.9,0.6,-0.4,2.9,0,-0.1,2.4,0.5
"BRAD.RICHARDSON","F","20152016","ARI",82,1276.4,1103.1,21.6,136,3.2,-0.9,-0.8,0.4,1.9,0.4
"BRAD.STUART","D","20152016","COL",6,84,78.8,0,5.1,0.3,0,0.1,0,0.4,0.1
"BRADY.SKJEI","D","20152016","NYR",7,124.1,103.5,2,17.1,-1.3,0,-1,-0.2,-2.6,-0.5
"BRANDON.BOLLIG","F","20152016","CGY",54,501,493.1,2.2,0.9,-1.9,0,0,-2,-4,-0.8
"BRANDON.DAVIDSON","D","20152016","EDM",51,979,791.6,22.4,134.4,6.5,0.1,-0.3,-0.1,6.2,1.2
"BRANDON.DUBINSKY","F","20152016","CBJ",75,1407.3,1049.7,161.3,144.3,4.3,0,-0.7,0,3.5,0.7
"BRANDON.GORMLEY","D","20152016","COL",26,316.5,308.1,4.6,3.4,2.2,0,0,-0.2,2,0.4
"BRANDON.MANNING","D","20152016","PHI",56,925.5,837,18.4,64,-6.3,-0.1,-0.2,1.9,-4.8,-0.9
"BRANDON.MASHINTER","F","20152016","CHI",41,307.1,303.7,1.8,0,-3.8,0,0,0.1,-3.8,-0.7
"BRANDON.PIRRI","F","20152016","ANA",9,114.6,97.7,15.4,0,0.6,0.4,0,0.1,1,0.2
"BRANDON.PIRRI","F","20152016","FLA",52,770.9,642,113.9,1.3,-3.8,-0.7,0,0.7,-3.7,-0.7
"BRANDON.PRUST","F","20152016","VAN",35,447.5,417.6,4.5,22.4,-3,0,0.2,0.3,-2.5,-0.5
"BRANDON.SAAD","F","20152016","CBJ",78,1340.7,1097.5,162.4,46.1,7.7,0.6,0.8,3.1,12.2,2.4
"BRANDON.SUTTER","F","20152016","VAN",20,359.5,263.5,45.4,42.5,3.7,-0.6,1.1,0.8,4.9,1
"BRAYDEN.MCNABB","D","20152016","L.A",81,1524,1352.4,23.2,137.7,1.1,0.1,-0.8,-1.5,-1.1,-0.2
"BRAYDEN.SCHENN","F","20152016","PHI",80,1351.6,1041.7,278.6,0.4,3.4,3.4,0,2,8.8,1.7
"BRAYDON.COBURN","D","20152016","T.B",80,1331.4,1138.1,3.9,185.7,4.7,0,2.9,0.2,7.7,1.5
"BRENDAN.GALLAGHER","F","20152016","MTL",53,878.5,687.7,149.4,0.7,7.6,3.2,0,2.3,13.1,2.6
"BRENDAN.GAUNCE","F","20152016","VAN",20,255.2,221.8,8.3,21.6,-1.4,0,0.1,-0.3,-1.5,-0.3
"BRENDAN.LEIPSIC","F","20152016","TOR",6,85.4,70.7,12.2,0,0.2,0.2,0,0,0.4,0.1
"BRENDAN.SMITH","D","20152016","DET",63,1109,986.7,36.6,71.5,4.7,-0.4,-0.1,-0.2,4,0.8
"BRENDEN.DILLON","D","20152016","S.J",76,1268.3,1178.6,8.2,73.8,-3.1,0.4,-0.3,-0.5,-3.5,-0.7
"BRENT.BURNS","D","20152016","S.J",82,2118.2,1557.8,331.4,173.2,3.5,4.1,0.1,1.3,9.1,1.8
"BRENT.REGNER","D","20152016","FLA",7,81.1,78.4,0.3,2.3,-2.2,0,0,-0.2,-2.3,-0.5
"BRENT.SEABROOK","D","20152016","CHI",81,1847.9,1423.2,228.3,144.2,-3.7,3.8,-1.4,0.3,-1.1,-0.2
"BRETT.CONNOLLY","F","20152016","BOS",71,920.2,846.2,58.9,0.4,3.1,2.3,0,0.6,5.9,1.2
"BRETT.KULAK","D","20152016","CGY",8,98.8,97.7,0,0.8,-0.9,0,0,0,-0.9,-0.2
"BRETT.PESCE","D","20152016","CAR",69,1294.6,1137.5,65.6,77.6,-2,1.4,0.4,2.1,1.9,0.4
"BRETT.RITCHIE","F","20152016","DAL",8,92.8,81.9,10.4,0,-0.3,0.3,0,0.2,0.3,0.1
"BRIAN.BOYLE","F","20152016","T.B",76,981.2,779,43.9,133.7,3.4,0,-0.7,-0.4,2.3,0.5
"BRIAN.CAMPBELL","D","20152016","FLA",82,1826.7,1449.9,216.7,129,16.6,0.5,0.6,2.5,20.1,3.9
"BRIAN.DUMOULIN","D","20152016","PIT",79,1491.9,1340.4,36,101,8.9,-0.8,-0.3,2.5,10.3,2
"BRIAN.FLYNN","F","20152016","MTL",56,654.3,546.3,6,88.4,-1.6,-0.1,1.4,0.7,0.4,0.1
"BRIAN.GIONTA","F","20152016","BUF",79,1399.8,1100.5,154.2,111.9,3.5,-0.5,-1.5,0.5,2,0.4
"BRIAN.O'NEILL","F","20152016","N.J",22,227.9,208.1,6.5,10.2,-0.7,-0.1,0,-0.2,-1,-0.2
"BRIAN.STRAIT","D","20152016","NYI",52,793.9,715.8,1.8,79.8,-3.5,0,-0.6,-0.7,-4.8,-0.9
"BROCK.MCGINN","F","20152016","CAR",21,234.8,218.7,3.3,7.1,-1.3,0,-0.1,-0.3,-1.7,-0.3
"BROCK.NELSON","F","20152016","NYI",81,1280.1,1082.4,141.4,37.5,2,-1.3,0.1,1.3,2,0.4
"BRODY.SUTTER","F","20152016","CAR",8,71.7,71.5,0,0,-1.6,0,0,0.2,-1.4,-0.3
"BROOKS.LAICH","F","20152016","TOR",21,293.5,234.7,18.4,34.7,-0.7,0.3,-0.2,0.6,-0.1,0
"BROOKS.LAICH","F","20152016","WSH",60,632.7,494.8,2.7,123.3,-2,0,-1.6,-0.3,-3.8,-0.7
"BROOKS.ORPIK","D","20152016","WSH",41,811.6,707.9,1.1,91.4,8.1,0,-0.2,-1.3,6.6,1.3
"BRYAN.BICKELL","F","20152016","CHI",25,244.7,239.2,5.3,0,-0.7,0,0,0.4,-0.3,-0.1
"BRYAN.LITTLE","F","20152016","WPG",57,1116.5,789.1,167.8,112.7,-0.4,0.2,-0.7,1.5,0.7,0.1
"BRYAN.RUST","F","20152016","PIT",41,512.4,482.2,12,10.8,2.2,0.1,-0.1,1.3,3.5,0.7
"BYRON.FROESE","F","20152016","TOR",56,705.4,539,15.2,145.4,1.1,-0.1,1.8,-0.3,2.5,0.5
"CAL.CLUTTERBUCK","F","20152016","NYI",77,917.4,748.8,8.4,148.6,4.7,0.1,1.7,1.3,7.8,1.5
"CALLE.JARNKROK","F","20152016","NSH",81,1307,1059.4,53.3,153.7,0.8,2.9,0.8,1.9,6.4,1.3
"CAL.O'REILLY","F","20152016","BUF",20,223.6,171.7,39.2,1.1,-0.5,0.3,0,0,-0.2,0
"CALVIN.DE HAAN","D","20152016","NYI",72,1484.8,1287.4,17,157.2,-0.8,0,1.5,1.3,2.1,0.4
"CAM.ATKINSON","F","20152016","CBJ",81,1438.3,1064,178.7,149.3,4.1,1.9,2.3,2.1,10.3,2
"CAM.FOWLER","D","20152016","ANA",69,1571.8,1183.9,204.8,147.2,-3,3.2,-1.2,1,0,0
"CARL.GUNNARSSON","D","20152016","STL",72,1251.3,1086.7,7.9,144.8,5.8,0.1,-0.1,1,6.9,1.4
"CARL.HAGELIN","F","20152016","ANA",43,645.1,568.7,7.8,59.5,-2.1,0.1,1.2,-0.7,-1.5,-0.3
"CARL.HAGELIN","F","20152016","PIT",37,611.3,518.8,10.6,69.6,11.1,-0.2,2.6,-0.1,13.3,2.6
"CARLO.COLAIACOVO","D","20152016","BUF",36,515.5,505.5,6.4,2.3,-0.8,0.1,0,0.1,-0.5,-0.1
"CARL.SODERBERG","F","20152016","COL",82,1477.3,1082.8,184.6,161.1,4.9,0.1,0.7,2.7,8.4,1.6
"CASEY.CIZIKAS","F","20152016","NYI",80,1011.6,823.4,6.5,171.7,2.3,0.1,-1.8,0.7,1.3,0.3
"CASEY.NELSON","D","20152016","BUF",7,103.8,88.7,13.1,0,1.4,0.3,0,-0.6,1.1,0.2
"CEDRIC.PAQUETTE","F","20152016","T.B",56,713.4,605.9,8.5,84.6,-3.1,-0.1,-0.1,2.1,-1.1,-0.2
"CHANDLER.STEPHENSON","F","20152016","WSH",9,70.7,70.2,0.4,0.1,-0.5,0,0,-0.2,-0.7,-0.1
"CHARLIE.COYLE","F","20152016","MIN",82,1418.8,1158.3,149.4,42.4,1.2,2.7,-1.5,4.6,7,1.4
"CHRIS.BIGRAS","D","20152016","COL",31,413.6,394.2,0.7,17.1,-6.1,0,0.2,-0.7,-6.7,-1.3
"CHRIS.HIGGINS","F","20152016","VAN",33,454.7,380.8,20.4,49.1,-3.8,-0.4,-0.1,0.3,-3.9,-0.8
"CHRIS.KELLY","F","20152016","BOS",11,144,113.8,1.6,24.7,1.8,0.1,0.5,0.1,2.5,0.5
"CHRIS.KREIDER","F","20152016","NYR",79,1260.7,1050.4,188.4,0,10.1,1.5,0,-0.2,11.4,2.2
"CHRIS.KUNITZ","F","20152016","PIT",80,1346,1122.5,163.9,27,12.4,-2.4,0.1,0.1,10.2,2
"CHRIS.NEIL","F","20152016","OTT",80,743.9,724.6,5.1,0.7,0.7,-0.1,0,0,0.6,0.1
"CHRIS.PORTER","F","20152016","MIN",61,587.2,504.9,3.2,73,-3.4,0,0.5,0.7,-2.2,-0.4
"CHRIS.STEWART","F","20152016","ANA",56,604.5,542,60,0.2,2.2,0.5,0,-0.4,2.3,0.4
"CHRIS.TANEV","D","20152016","VAN",69,1501,1187.9,92,188.7,5.5,1.4,-0.8,2.6,8.7,1.7
"CHRIS.TERRY","F","20152016","CAR",68,766.6,714.8,36.4,0.6,-2.8,-1.7,0,0.6,-3.9,-0.8
"CHRIS.THORBURN","F","20152016","WPG",82,829.9,761.6,6.3,56.2,-0.7,0.1,-0.9,-0.7,-2.2,-0.4
"CHRISTIAN.EHRHOFF","D","20152016","CHI",8,136.2,124.2,9.7,0.9,-0.1,0.1,0,0.4,0.3,0.1
"CHRISTIAN.EHRHOFF","D","20152016","L.A",40,606.9,518.1,68.1,18.4,-3.7,1.5,0.2,-0.7,-2.8,-0.5
"CHRISTIAN.FOLIN","D","20152016","MIN",26,379.1,325.9,0.2,38.1,-0.8,0,-0.4,0.1,-1.1,-0.2
"CHRIS.TIERNEY","F","20152016","S.J",79,1041.2,895.1,13.9,118.7,-3.7,-0.1,-2.2,2.2,-3.9,-0.8
"CHRIS.VANDEVELDE","F","20152016","PHI",79,1070.1,866.8,8.3,179.6,-4.5,-0.1,0.6,-0.2,-4.2,-0.8
"CHRIS.WAGNER","F","20152016","ANA",17,179.6,155.2,1,22,-0.7,0,0.5,0.2,0,0
"CHRIS.WAGNER","F","20152016","COL",26,214.1,212.4,0.1,0.9,0.2,0,0,-0.3,-0.1,0
"CHRIS.WIDEMAN","D","20152016","OTT",64,892.8,838.5,38.7,6.9,3.1,-0.1,0,-1.2,1.8,0.3
"CLAUDE.GIROUX","F","20152016","PHI",78,1602.6,1150.6,295.8,111.9,1.6,1.4,-1,2.7,4.6,0.9
"CLAYTON.STONER","D","20152016","ANA",50,768,672.5,1.8,89.5,3.5,0,2.1,-0.6,5.1,1
"CODY.BASS","F","20152016","NSH",17,130.3,125.5,0.2,3.4,-0.3,0,0,0.5,0.2,0
"CODY.CECI","D","20152016","OTT",75,1447.5,1182.7,40.4,177.3,2.2,0.6,-1.2,1.6,3.3,0.6
"CODY.EAKIN","F","20152016","DAL",82,1339.2,1069.5,109.6,126.8,-2.7,-0.7,-1.1,-1.2,-5.7,-1.1
"CODY.FRANSON","D","20152016","BUF",59,993.4,807.1,122.2,43.4,-2.8,-0.8,-1.1,-1.2,-5.9,-1.2
"CODY.GOLOUBEF","D","20152016","CBJ",43,650.3,606.6,5.2,32.7,2.5,0,-0.7,-0.4,1.3,0.3
"CODY.HODGSON","F","20152016","NSH",39,418.6,409.9,3.6,0.4,0.3,0.1,0,0.8,1.1,0.2
"CODY.MCLEOD","F","20152016","COL",82,864.2,769.1,13.6,64.5,0.5,0,0.4,-1,-0.1,0
"COLIN.GREENING","F","20152016","TOR",30,433,351.8,74.1,0,0.7,-1,0,-0.1,-0.4,-0.1
"COLIN.MILLER","D","20152016","BOS",42,663.4,603.8,52.9,2.3,3.2,1.5,0,-0.1,4.6,0.9
"COLIN.WILSON","F","20152016","NSH",64,925.2,815.2,93,0.9,3.5,0,0,1.2,4.7,0.9
"COLTON.PARAYKO","D","20152016","STL",79,1531.7,1301.5,128.4,74.8,15.4,1.4,1.2,2.6,20.6,4
"COLTON.SCEVIOUR","F","20152016","DAL",71,899.9,726.4,39.5,118.5,6,-0.1,1.3,0.8,8,1.6
"COLTON.SISSONS","F","20152016","NSH",34,338.6,297.1,2.3,36.3,5,0,0.4,0.3,5.8,1.1
"CONNOR.BRICKLEY","F","20152016","FLA",23,200.7,197.2,3.2,0,0.1,0,0,-0.4,-0.3,-0.1
"CONNOR.BROWN","F","20152016","TOR",7,104.8,75.4,24.1,3.3,0.6,1.5,0,0.4,2.4,0.5
"CONNOR.CARRICK","D","20152016","TOR",16,253.8,246.8,8,7.6,-1,0.1,0.1,-0.4,-1.3,-0.2
"CONNOR.MCDAVID","F","20152016","EDM",45,849.9,645.1,129.8,34.5,7.1,2.3,0.8,1.6,11.7,2.3
"CONNOR.MURPHY","D","20152016","ARI",78,1599.7,1332.3,86.5,163.6,5.4,-1.1,1.3,1.1,6.6,1.3
"CONOR.SHEARY","F","20152016","PIT",44,427.5,393.9,33.4,0.4,1.6,-1.1,0,1.3,1.8,0.4
"CORBAN.KNIGHT","F","20152016","FLA",20,192.7,189.3,1.4,0.6,2.1,0,0,0.1,2.2,0.4
"COREY.PERRY","F","20152016","ANA",82,1444,1184.8,234.6,3.8,2.4,4.5,0,-1,5.9,1.1
"CRAIG.CUNNINGHAM","F","20152016","ARI",10,100.8,98.2,0.8,1,-0.4,0,0,0,-0.4,-0.1
"CRAIG.SMITH","F","20152016","NSH",82,1245.1,1053.4,173.3,2.5,7.4,-0.8,0,-0.4,6.2,1.2
"CURTIS.LAZAR","F","20152016","OTT",76,1048.8,864.2,64.6,101.9,-5.6,1.4,-1.1,2.5,-2.8,-0.6
"DAINIUS.ZUBRUS","F","20152016","S.J",50,579.5,523.7,2.7,49,3.2,0,0,-0.5,2.7,0.5
"DALE.WEISE","F","20152016","CHI",15,149.2,133.8,4.7,9.1,2.5,0,0,0.4,2.9,0.6
"DALE.WEISE","F","20152016","MTL",56,803.3,680.7,93.9,3.2,4.1,0.3,0,0.8,5.2,1
"DALTON.PROUT","D","20152016","CBJ",64,1035,946.9,3,80.4,0.6,0,-0.3,-3.3,-3,-0.6
"DAMON.SEVERSON","D","20152016","N.J",72,1307.9,1141,118.9,21.8,-3.1,-0.5,0.4,1,-2.2,-0.4
"DAN.BOYLE","D","20152016","NYR",74,1392,1164.4,160.5,49.7,3.5,0.2,1.7,0.3,5.8,1.1
"DAN.GIRARDI","D","20152016","NYR",74,1503.8,1272,8.4,196,-4,0.1,1,1.4,-1.5,-0.3
"DAN.HAMHUIS","D","20152016","VAN",58,1242.1,983.9,80.7,150.3,4.1,-1.3,1.5,0.3,4.6,0.9
"DANIEL.CARR","F","20152016","MTL",23,277.7,252,20.3,0,1.8,0.2,0,-0.2,1.9,0.4
"DANIEL.CATENACCI","F","20152016","BUF",11,96.1,93.1,0.4,0.1,-0.6,0,0,0.3,-0.4,-0.1
"DANIEL.PAILLE","F","20152016","NYR",12,136.9,114.6,0,18.7,-1.2,0,-0.5,0.4,-1.3,-0.3
"DANIEL.SEDIN","F","20152016","VAN",82,1503,1151.3,263.5,36.8,5.2,1,0.5,0.1,6.7,1.3
"DANIEL.SPRONG","F","20152016","PIT",18,157.1,148.9,7.4,0,-2.5,-0.1,0,0.2,-2.4,-0.5
"DANIEL.WINNIK","F","20152016","TOR",56,797,671.5,21.8,95,-0.3,-0.4,-0.9,0.3,-1.3,-0.3
"DANIEL.WINNIK","F","20152016","WSH",20,243.6,200.9,2.5,36.9,2.1,0,0.9,-0.7,2.3,0.5
"DANNY.DEKEYSER","D","20152016","DET",78,1700.8,1429.2,36.8,206.9,0.5,-1.4,-0.9,0.1,-1.8,-0.3
"DARNELL.NURSE","D","20152016","EDM",69,1395.9,1206.9,13.7,140.9,-3.1,0,-1.7,-0.8,-5.7,-1.1
"DARREN.DIETZ","D","20152016","MTL",13,189,181.8,2.2,3.3,1.5,0,0,-0.4,1.1,0.2
"DARREN.HELM","F","20152016","DET",77,1159.6,944.6,51,137.4,1.6,-1.7,-1.5,2.5,1,0.2
"DAVE.BOLLAND","F","20152016","FLA",25,351.3,278.1,18.9,48.9,-1.8,0.1,-0.4,-0.8,-2.9,-0.6
"DAVE.DZIURZYNSKI","F","20152016","OTT",14,141.1,137.4,0,3.1,-0.7,0,0,-0.3,-1.1,-0.2
"DAVID.BACKES","F","20152016","STL",79,1519.2,1140.7,195,137.6,3.7,3.5,-1.9,-4,1.3,0.2
"DAVID.CLARKSON","F","20152016","CBJ",23,212,204.5,5.5,0.4,-2.8,-0.1,0,0.5,-2.4,-0.5
"DAVID.DESHARNAIS","F","20152016","MTL",65,1040.2,855.5,144.6,1.1,1.3,0.2,0,2,3.5,0.7
"DAVID.JONES","F","20152016","CGY",59,754.6,713.8,25.7,4.1,0.4,-0.1,0,0.9,1.3,0.2
"DAVID.JONES","F","20152016","MIN",16,178.3,170.7,1.8,0,-1.3,0,0,0.8,-0.5,-0.1
"DAVID.KREJCI","F","20152016","BOS",72,1461.1,1084.8,228.9,103.7,9.1,0.7,0.4,1,11.2,2.2
"DAVID.LEGWAND","F","20152016","BUF",79,762,563.5,2.7,189.9,0.6,0,0.4,-0.4,0.6,0.1
"DAVID.PASTRNAK","F","20152016","BOS",51,711.2,679.3,23.7,0.4,0,-0.3,0,1.7,1.4,0.3
"DAVID.PERRON","F","20152016","ANA",28,414.7,338.9,72.2,0.1,7,4.4,0,-1.4,10,2
"DAVID.PERRON","F","20152016","PIT",43,663.9,574.9,73,0.7,-4.8,-0.1,0,-0.2,-5.1,-1
"DAVID.RUNDBLAD","D","20152016","CHI",9,129.3,109.5,18.3,0.2,-2.2,0.5,0,0,-1.7,-0.3
"DAVID.SAVARD","D","20152016","CBJ",65,1506.2,1151.4,136.1,184.2,4.8,0.7,3.2,-1,7.7,1.5
"DAVID.SCHLEMKO","D","20152016","N.J",67,1248.2,981.4,134.1,103.4,-0.3,1.6,0.6,2,3.9,0.8
"DAVID.WARSOFSKY","D","20152016","N.J",10,163.6,139.7,21.3,0,-1.5,0.1,0,0.7,-0.7,-0.1
"DAVID.WARSOFSKY","D","20152016","PIT",12,213.1,182.6,24.6,0.7,-3.3,0,0,0.5,-2.8,-0.5
"DEAN.KUKAN","D","20152016","CBJ",8,138.8,133.3,3,2.6,4.5,0,0,0.4,4.8,0.9
