team,season,name,team,position,situation,games_played,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
MIN,2008,MIN,MIN,Team Level,other,82,0.48,0.49,0.49,11901.0,143.97,20.06,10.29,28.65,4.91,86.83,54.71,18.49,20.06,18.49,154.0,58.0,61.0,273.0,26.0,9.0,1.0,33.0,2.0,77.0,65.0,128.0,186.0,8.0,16.0,139.0,43.0,19.0,22.0,143.0,53.0,16.0,5.35,6.5,8.21,6.0,8.0,12.0,273.0,212.0,212.0,12.0,2.95,1.16,1.16,21.46,21.46,19.8,140.35,21.66,10.52,27.1,4.72,81.06,54.25,20.69,21.66,20.69,158.0,60.0,67.0,285.0,28.0,11.0,4.0,30.0,4.0,85.0,60.0,130.0,190.0,15.0,34.0,159.0,39.0,17.0,26.0,149.0,46.0,23.0,5.47,5.58,10.61,10.0,2.0,16.0,285.0,218.0,218.0,7.0,3.09,2.24,2.22,21.35,21.35,20.46
MIN,2008,MIN,MIN,Team Level,all,82,0.48,0.48,0.48,299195.0,2210.01,188.02,148.38,496.23,72.1,1266.33,955.62,182.46,188.5,182.94,2258.0,907.0,982.0,4147.0,214.0,131.0,25.0,446.0,42.0,996.0,1336.0,2044.0,2951.0,353.0,847.0,2223.0,1468.0,440.0,630.0,2489.0,529.0,147.0,72.78,62.15,53.09,74.0,76.0,64.0,4158.28,3165.0,3172.77,307.0,33.23,23.91,24.1,194.59,195.04,190.9,2424.4,202.35,163.5,557.44,78.38,1366.67,1032.29,195.74,201.98,195.38,2518.0,949.0,1033.0,4500.0,197.0,146.0,29.0,619.0,60.0,1112.0,1333.0,2321.0,3270.0,394.0,919.0,2361.0,1443.0,443.0,582.0,2724.0,587.0,156.0,81.42,68.54,52.39,70.0,70.0,57.0,4490.31,3467.0,3459.72,257.0,36.3,27.99,29.58,204.64,204.38,200.25
MIN,2008,MIN,MIN,Team Level,5on5,82,0.46,0.47,0.47,230258.0,1602.93,115.06,99.67,378.61,52.0,906.46,715.85,112.73,115.53,113.21,1630.0,661.0,729.0,3020.0,122.0,84.0,12.0,344.0,26.0,702.0,1013.0,1508.0,2169.0,303.0,736.0,1554.0,1319.0,351.0,490.0,1873.0,355.0,63.0,55.44,41.54,18.07,60.0,47.0,15.0,3031.28,2291.0,2298.77,257.0,20.39,15.72,15.88,118.0,118.45,117.1,1813.85,132.79,113.02,436.3,58.34,1009.24,789.79,129.67,132.41,129.31,1867.0,708.0,802.0,3377.0,136.0,96.0,18.0,462.0,48.0,796.0,1037.0,1731.0,2439.0,326.0,776.0,1684.0,1301.0,345.0,456.0,2079.0,420.0,76.0,62.83,48.89,21.06,55.0,64.0,17.0,3367.31,2575.0,2567.72,221.0,23.18,17.52,18.56,134.99,134.73,133.06
MIN,2008,MIN,MIN,Team Level,4on5,82,0.13,0.12,0.14,28293.0,65.18,6.2,2.96,8.25,1.84,19.26,50.6,6.03,6.2,6.03,67.0,24.0,11.0,102.0,8.0,6.0,2.0,7.0,0.0,10.0,60.0,59.0,83.0,21.0,53.0,242.0,64.0,56.0,37.0,64.0,18.0,9.0,1.86,2.09,2.24,2.0,2.0,4.0,102.0,91.0,91.0,30.0,0.68,1.12,1.12,5.62,5.62,5.61,404.67,41.63,37.02,85.07,13.41,256.88,138.45,39.2,41.63,39.2,417.0,162.0,156.0,735.0,27.0,33.0,7.0,113.0,5.0,216.0,185.0,390.0,552.0,28.0,59.0,290.0,34.0,12.0,71.0,425.0,105.0,49.0,11.07,12.11,18.45,3.0,2.0,22.0,735.0,579.0,579.0,1.0,9.34,7.21,7.36,43.14,43.14,41.59
MIN,2008,MIN,MIN,Team Level,5on4,82,0.88,0.88,0.86,28743.0,397.93,46.71,35.46,80.72,13.34,253.78,134.45,45.21,46.71,45.21,407.0,164.0,181.0,752.0,58.0,32.0,10.0,62.0,14.0,207.0,198.0,349.0,513.0,21.0,42.0,288.0,42.0,14.0,81.0,409.0,103.0,59.0,10.13,12.02,24.55,6.0,19.0,33.0,752.0,571.0,571.0,8.0,9.21,5.92,5.95,49.51,49.51,48.39,65.53,6.28,2.93,8.95,1.92,19.5,49.8,6.17,6.28,6.17,76.0,19.0,8.0,103.0,6.0,6.0,0.0,14.0,3.0,15.0,51.0,70.0,89.0,25.0,50.0,228.0,69.0,69.0,29.0,71.0,16.0,8.0,2.06,1.95,2.27,2.0,2.0,2.0,103.0,95.0,95.0,28.0,0.69,1.02,1.43,5.15,5.15,5.14
BOS,2008,BOS,BOS,Team Level,other,81,0.55,0.47,0.48,11432.0,125.02,26.42,8.59,22.82,4.1,66.77,46.03,25.09,26.42,25.09,136.0,49.0,51.0,236.0,29.0,5.0,1.0,25.0,5.0,70.0,51.0,107.0,156.0,9.0,18.0,134.0,43.0,23.0,18.0,111.0,37.0,37.0,3.76,4.72,17.94,5.0,7.0,17.0,236.0,185.0,185.0,7.0,2.45,1.31,1.31,26.85,26.85,25.79,136.76,21.58,10.06,26.96,4.74,75.02,52.3,20.12,21.58,20.12,149.0,51.0,70.0,270.0,18.0,17.0,6.0,23.0,2.0,71.0,69.0,131.0,182.0,12.0,24.0,143.0,56.0,30.0,24.0,133.0,38.0,29.0,4.66,4.84,12.08,7.0,1.0,10.0,270.0,200.0,200.0,8.0,2.98,4.77,4.77,19.26,19.26,18.43
BOS,2008,BOS,BOS,Team Level,all,81,0.51,0.5,0.5,295613.0,2386.17,223.59,160.11,539.89,77.13,1324.05,1019.43,215.94,225.91,218.19,2460.0,901.0,1048.0,4409.0,267.0,135.0,30.0,528.0,77.0,1055.0,1299.0,2193.0,3094.0,393.0,921.0,2360.0,1792.0,495.0,478.0,2503.0,648.0,210.0,70.05,77.73,75.8,88.0,96.0,83.0,4492.17,3361.0,3409.49,264.0,35.54,26.01,27.05,230.92,233.0,227.49,2371.68,216.03,156.28,535.98,77.21,1295.61,1017.07,208.53,214.24,206.77,2495.0,820.0,1050.0,4365.0,188.0,156.0,37.0,602.0,60.0,959.0,1350.0,2307.0,3127.0,398.0,963.0,2266.0,1875.0,512.0,623.0,2504.0,610.0,201.0,71.15,72.79,72.09,56.0,68.0,64.0,4293.59,3315.0,3274.1,293.0,34.8,35.63,36.91,212.87,210.92,206.34
BOS,2008,BOS,BOS,Team Level,5on5,81,0.51,0.51,0.5,228856.0,1793.83,142.82,111.76,424.4,57.87,982.13,788.35,139.67,145.15,141.92,1828.0,684.0,816.0,3328.0,165.0,100.0,24.0,406.0,52.0,759.0,1030.0,1663.0,2347.0,337.0,797.0,1691.0,1605.0,392.0,379.0,1912.0,495.0,105.0,54.54,59.35,28.93,70.0,66.0,29.0,3411.17,2512.0,2560.49,226.0,22.92,19.89,20.35,145.07,147.16,145.47,1781.58,138.02,110.11,421.41,57.71,967.63,780.64,134.59,136.23,132.83,1873.0,610.0,779.0,3262.0,113.0,106.0,25.0,477.0,49.0,696.0,1042.0,1760.0,2370.0,342.0,842.0,1617.0,1682.0,399.0,476.0,1923.0,459.0,101.0,55.46,54.57,27.99,38.0,49.0,26.0,3190.59,2483.0,2442.1,238.0,22.57,22.89,24.17,135.89,133.95,132.48
BOS,2008,BOS,BOS,Team Level,4on5,81,0.1,0.11,0.13,26741.0,53.91,5.78,2.72,6.82,1.51,15.12,47.05,5.71,5.78,5.71,60.0,19.0,7.0,86.0,7.0,4.0,1.0,4.0,4.0,13.0,47.0,53.0,72.0,22.0,47.0,251.0,100.0,59.0,35.0,54.0,16.0,9.0,1.3,2.03,2.45,1.0,2.0,4.0,86.0,79.0,79.0,29.0,0.64,0.96,0.96,5.46,5.46,5.42,394.69,51.37,33.34,80.42,13.14,236.04,132.69,48.79,51.37,48.79,405.0,142.0,179.0,726.0,50.0,31.0,6.0,91.0,8.0,183.0,184.0,355.0,497.0,27.0,60.0,249.0,61.0,22.0,74.0,384.0,97.0,66.0,9.14,11.36,30.87,8.0,14.0,28.0,726.0,547.0,547.0,6.0,8.61,7.63,7.63,52.36,52.36,50.09
BOS,2008,BOS,BOS,Team Level,5on4,81,0.91,0.88,0.87,28584.0,413.41,48.56,37.03,85.85,13.63,260.04,138.01,45.46,48.56,45.46,436.0,149.0,174.0,759.0,66.0,26.0,4.0,93.0,16.0,213.0,171.0,370.0,519.0,25.0,59.0,284.0,44.0,21.0,46.0,426.0,100.0,59.0,10.46,11.63,26.47,12.0,21.0,33.0,759.0,585.0,585.0,2.0,9.53,3.86,4.43,53.54,53.54,50.81,58.66,5.05,2.77,7.18,1.62,16.93,51.44,5.03,5.05,5.03,68.0,17.0,22.0,107.0,7.0,2.0,0.0,11.0,1.0,9.0,55.0,61.0,78.0,17.0,37.0,257.0,76.0,61.0,49.0,64.0,16.0,5.0,1.89,2.03,1.14,3.0,4.0,0.0,107.0,85.0,85.0,41.0,0.64,0.34,0.34,5.35,5.35,5.35
